iso,year,mil_delta,log_rgdp_pc,log_gov_pc,log_tfp,tbill,def_gdp,debt_gdp
CHE,1976,0.26182827069482784,3.3874203102575327,1.0914201431374972,2.3806144315518862,1.510000042617321,-0.9983557799508059,42.30807117779819
CHE,1977,-0.1404944458704609,3.4168926885381725,1.0896643352534137,2.4074170967665522,2.4700000882148743,-1.199920924320885,40.94720240820332
CHE,1978,-0.054722132338598906,3.4481357919839173,1.0660235460344094,2.4056250139759667,0.6599999964237213,-0.4193325470886481,38.39691274286031
CHE,1979,0.07243499550466947,3.481126892012142,1.0759114309690105,2.422069616232053,1.00166667252779,-0.9313881175170369,37.40105918693559
CHE,1980,-0.3611928801672817,3.507247264139194,1.0767495164383145,2.4505087216148715,2.290833368897438,-0.541859871922089,35.70375643263813
CHE,1981,-0.015804324430471084,3.495810317210945,1.018221186049939,2.4498593768876575,2.9341666027903557,-0.08248996686025314,33.877350858094694
CHE,1982,0.06539228983917744,3.463943270229268,1.049877753100849,2.429973490961312,1.3225000351667404,-0.19663051834376266,33.38552693729017
CHE,1983,0.02061107805632978,3.496165149742055,1.0656022364112185,2.435958972586928,1.8433332443237305,-0.37102211495176274,33.51294632419898
CHE,1984,-0.04755728637145906,3.521569480942949,1.0973971099482926,2.4598203124210247,3.340666741132736,-0.18320861566191152,32.7607025045623
CHE,1985,0.12372356536432605,3.530827773137211,1.1139460236294743,2.477398360321833,2.125000022351742,-0.2710523187883664,32.20821000623906
CHE,1986,-0.16394991691722538,3.5547714259606757,1.1132674589116514,2.4762343911010563,2.875000052154064,0.7389363411257749,31.706752693726788
CHE,1987,-0.09915589598258334,3.5931158352849666,1.1225939451550966,2.4674255735837454,0.5625000223517418,0.35443434296528326,30.944312564642296
CHE,1988,0.002939208904818358,3.6429756285044803,1.2030901203588638,2.473658563384093,4.874999821186066,0.41979637150167803,30.837999999999997
CHE,1989,-0.04063989752279218,3.684125289804936,1.1927763848553319,2.494284503977452,9.687499701976776,0.2822391343867355,28.675
CHE,1990,0.04798182076906121,3.730984663677947,1.2719660644922441,2.5008286420712627,8.749999850988388,0.31894737785034494,33.293
CHE,1991,-0.03432230204153486,3.7054633941452297,1.3193419244709679,2.4700197038178273,7.562500238418579,-0.5028641386612531,35.042
CHE,1992,-0.014115613135393446,3.6755603296997092,1.3129367514347114,2.4676024426276433,6.3749998807907104,-0.5640394021147318,39.46
CHE,1993,-0.1567449272113215,3.6556829629882253,1.339099480038371,2.467050838694672,4.125000163912773,-1.7041556552263597,44.36
CHE,1994,-0.03468025115228812,3.6637381377576386,1.2441883153694944,2.4700652170612147,3.500000014901161,-0.07739179353681576,47.062
CHE,1995,0.02352678849171408,3.651967461905558,1.3704152279043214,2.4774851010231584,1.7500000074505806,-1.1449636380356114,49.97
CHE,1996,-0.07205408093991417,3.6482766488387726,1.4074120223659674,2.487284701252363,1.4999999664723873,-1.2581101602350326,51.259
CHE,1997,-0.06289269816246579,3.65896465950442,1.3772482616540176,2.508911292999526,0.9999999776482582,-0.9179691084220806,53.592
CHE,1998,-0.035660202027505195,3.685022754784242,1.454247673083527,2.5202169719114003,0.8750000037252903,-0.4706576482611207,55.839000000000006
CHE,1999,-0.09899169592559853,3.691242726538426,1.5544025735983524,2.515065120273471,1.0937499813735485,-1.9080809638855574,52.576
CHE,2000,-0.05693208800848071,3.72351172219978,1.5857984065175312,2.5420971655040177,3.500000014901161,-0.6773124954533001,52.10900000000001
CHE,2001,-0.03740003732118802,3.7329179513873827,1.4988427056233629,2.5555196802993154,1.6499999910593033,-0.6230273676235493,50.94299999999999
CHE,2002,-0.03549173037344189,3.7169878476954437,1.6172563781041445,2.5525008606254587,0.4399999976158142,-2.2105082087132395,57.508
CHE,2003,-0.029757930364091023,3.7156486501145656,1.4769266051655305,2.5428709859397634,0.08999999845400453,-0.5647922083430991,56.681000000000004
CHE,2004,-0.037705344793923845,3.7328417010700585,1.4860708568627519,2.5492873769637585,0.5499999970197678,-0.43511894823135455,57.574000000000005
CHE,2005,-0.05586103807915144,3.7537475085909837,1.4804390963400424,2.5671101237861373,0.6300000008195639,0.03985199858756472,54.64
CHE,2006,-0.07925555865285205,3.7992755971574046,1.4818586267548126,2.5900889468400154,1.940000057220459,0.572999192022598,48.25
CHE,2007,-0.035576154211517275,3.8505792177375735,1.6256417424802514,2.608387669448945,1.9999999552965164,-0.5986760532802643,44.495
CHE,2008,0.004252088601777948,3.8647799377310994,1.5661666036548054,2.6165399169936236,0.009999999747378752,0.9258155396967779,44.572
CHE,2009,0.00930896447836116,3.8384817097260444,1.5631484094410724,2.5872987278772532,0.050000002374872565,0.3599064489208406,42.765
CHE,2010,-0.044573210810273434,3.8562794501412236,1.5664208124200498,2.611983000934928,0.03999999898951501,0.5334952082964283,41.144
CHE,2011,0.007562091724322095,3.8619618850695927,1.6107886149393402,2.608483744886931,0.0699999975040555,0.026236730921106836,41.545
CHE,2012,-0.025780547223274608,3.8702351371519526,1.5947009008382556,2.6097078488467655,-0.019999999494757503,0.06652125706330948,42.211
CHE,2013,0.04363453195655076,3.8797095909204007,1.6096422700960518,2.6222405432308467,0.009999999747378752,0.1410567978503923,41.566
CHE,2014,-0.0777379039271856,3.885594835254578,1.6028016242371326,2.630673717547234,-1.9999999552965164,-0.002914606012226296,41.608000000000004
CHE,2015,0.01644274437652471,3.8894361934475157,1.63186239599476,2.6254371412154685,-0.9999999776482582,0.3206179813067428,41.657
CHE,2016,0.013409392572303114,3.897303435281578,1.64620687147969,2.6305443205610346,-0.9000000000000001,0.05429935047070028,40.483
CHE,2017,0.0009340813483633692,3.892849600882083,1.6397903693445053,2.6401102082184496,-1.0,0.7479434776246382,41.205
CHE,2018,-0.012807986966892115,3.912185621309792,1.6250629088656634,2.6586250716539794,-0.95,0.7393048539854811,39.234
